Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2,14.40495018954163,-0.03615651377168878,122.5675648688559
2.160353623569779,14.86963347900654,-0.03462930123779721,124.5412213350774
2.333563889435541,15.31298406129695,-0.03668748017430654,126.5660207078711
2.520661602186829,15.73336643145231,-0.03491548010644481,128.657140557338
2.72276021303876,16.13719094966699,-0.02620037643923855,130.7879127605709
2.941062446174959,16.50565900468932,-0.03084564239517035,132.8958718447789
3.176867456369535,16.85233710316835,-0.03370903870575099,135.0615376885413
3.431578560484414,17.15406204884309,-0.07128377268186463,137.2314079187208
3.706711588853442,17.47222344981144,-0.03411778363123266,139.3560776529561
4.003903906253813,17.74587673029897,-0.03399613038710556,141.4621002169523
4.324924156150307,17.99702344116067,-0.03384362756076996,143.5558653215019
4.671682786201892,18.22394577858589,-0.03437271490662908,145.5871310895319
5.046243417669917,18.42989277652074,-0.03270293713811269,147.5722052141751
5.450835126389164,18.61479071526656,-0.03315252934671592,149.4961458214123
5.887865708388142,18.78016939194231,-0.03271787128354765,151.345632984586
6.359936009104283,18.9283589682367,-0.03524694460569925,153.1307972603424
6.869855401470176,19.06141741807737,-0.03327852707422982,154.842011812268
7.420658504983256,19.17866460345371,-0.03403359608208338,156.4689223749204
8.015623245257252,19.28031188418795,-0.03467929785222736,158.0279008443367
8.658290361530824,19.37271975859997,-0.03338202756923339,159.4807031002989
9.352484478226204,19.45301065377165,-0.03598472067625064,160.8574384159445
10.10233686595807,19.52463674802726,-0.03293128153053024,162.1635101477074
10.91231002744753,19.5855729057875,-0.0326222087916377,163.4002488403934
11.78722425465655,19.63971071814183,-0.03642134769602768,164.5391753052436
12.73228631518846,19.68730293001567,-0.03588976228256404,165.6377765370493
13.75312043867264,19.72796197145805,-0.0358766406323087,166.6470900858787
14.85580178753901,19.76327262667675,-0.03512563348776163,167.5707756415729
16.04689261137218,19.79623864594003,-0.03680317115985324,168.4797518236563
