Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
496.6988468346821,-4.095504669301246,-50.41512083064827,-171.0741160040581
515.9389336067339,-4.145559395794509,-51.14266758371912,-172.6333164619276
535.9243028398886,-4.171025141723374,-52.24559644948456,-173.3551534948324
556.683823735903,-4.193196848844616,-53.04198184934506,-172.5392284441947
578.2474837716212,-4.223981517505925,-54.02257500031776,-173.517064927811
600.6464320163901,-4.285793298703961,-55.13486325626165,-173.2938538213355
623.9130241274144,-4.324193937511859,-56.16726851358369,-171.4842042159484
648.0808690880452,-4.338914093970453,-57.41730934300487,-173.5107426217288
673.1848777565228,-4.372247711262538,-58.59331361151462,-171.0652431381005
699.2613132952977,-4.39402750737654,-59.15137857720797,-169.7118253190901
726.3478435537792,-4.426468085002242,-60.81621765115626,-167.5453544225759
754.4835954801747,-4.434841057974467,-61.91483968101474,-168.4428901626255
783.7092116410267,-4.455160451865864,-63.88326723890226,-162.8431156433508
814.0669089300806,-4.462956648925005,-65.18654418797209,-158.9546427730751
845.6005395513006,-4.496919665735983,-66.81101917220361,-147.1455835272662
878.3556543641115,-4.515007230510402,-68.41700919228916,-140.7612899281952
912.3795686823837,-4.532204191915767,-68.18404304900673,-126.5246652450615
947.7214306221969,-4.565180398049832,-70.94317994197488,-117.1287217469272
984.4322920971236,-4.572873790664419,-71.11252218785808,-99.87265373322595
1022.565182563573,-4.608752486661927,-69.77829054475112,-96.29183427795363
1062.175185622731,-4.619515045470265,-68.75876168042358,-84.52472156828847
1103.319518589752,-4.619434235136463,-67.65384732575045,-73.69490896739683
1146.057615145129,-4.61189952417378,-66.58286873313597,-72.86097231863138
1190.451211187646,-4.63415816852145,-67.36761416165234,-72.33924932910146
1236.56443401292,-4.637733237315823,-65.36888563382253,-66.93017855045741
1284.463894946358,-4.659034344385462,-64.84866160984704,-65.99477101719511
1334.218785564337,-4.650856443846861,-64.85498356734981,-70.43918625154531
1385.900977642595,-4.663865280198326,-63.77307812164516,-65.86934934426002
